Child No.0, CPU Time:63, IO Time:6 
Child No.1, CPU Time:77, IO Time:5 
Child No.2, CPU Time:73, IO Time:5 
Child No.3, CPU Time:66, IO Time:2 
Child No.4, CPU Time:69, IO Time:1 
Child No.5, CPU Time:62, IO Time:7 
Child No.6, CPU Time:70, IO Time:9 
Child No.7, CPU Time:63, IO Time:6 
Child No.8, CPU Time:60, IO Time:6 
Child No.9, CPU Time:72, IO Time:6 
Time: 41, Child No.0 gets CPU time, Remaining:53, Run Queue: 1 2 3 4 5 6 7 8 9 0 IO Wait Queue: 
Time: 42, Child No.1 gets CPU time, Remaining:67, Run Queue: 2 3 4 5 6 7 8 9 0 1 IO Wait Queue: 
Time: 43, Child No.2 gets CPU time, Remaining:63, Run Queue: 3 4 5 6 7 8 9 0 1 2 IO Wait Queue: 
Time: 44, Child No.3 gets CPU time, Remaining:56, Run Queue: 4 5 6 7 8 9 0 1 2 3 IO Wait Queue: 
Time: 45, Child No.4 gets CPU time, Remaining:59, Run Queue: 5 6 7 8 9 0 1 2 3 4 IO Wait Queue: 
Time: 46, Child No.5 gets CPU time, Remaining:52, Run Queue: 6 7 8 9 0 1 2 3 4 5 IO Wait Queue: 
Time: 47, Child No.6 gets CPU time, Remaining:60, Run Queue: 7 8 9 0 1 2 3 4 5 6 IO Wait Queue: 
Time: 48, Child No.7 gets CPU time, Remaining:53, Run Queue: 8 9 0 1 2 3 4 5 6 7 IO Wait Queue: 
Time: 49, Child No.8 gets CPU time, Remaining:50, Run Queue: 9 0 1 2 3 4 5 6 7 8 IO Wait Queue: 
Time: 50, Child No.9 gets CPU time, Remaining:62, Run Queue: 0 1 2 3 4 5 6 7 8 9 IO Wait Queue: 
Time: 51, Child No.0 gets CPU time, Remaining:51, Run Queue: 1 2 3 4 5 6 7 8 9 0 IO Wait Queue: 
Time: 52, Child No.1 gets CPU time, Remaining:65, Run Queue: 2 3 4 5 6 7 8 9 0 1 IO Wait Queue: 
Time: 53, Child No.2 gets CPU time, Remaining:61, Run Queue: 3 4 5 6 7 8 9 0 1 2 IO Wait Queue: 
Time: 54, Child No.3 gets CPU time, Remaining:54, Run Queue: 4 5 6 7 8 9 0 1 2 3 IO Wait Queue: 
Time: 55, Child No.4 gets CPU time, Remaining:57, Run Queue: 5 6 7 8 9 0 1 2 3 4 IO Wait Queue: 
Time: 56, Child No.5 gets CPU time, Remaining:50, Run Queue: 6 7 8 9 0 1 2 3 4 5 IO Wait Queue: 
Time: 57, Child No.6 gets CPU time, Remaining:58, Run Queue: 7 8 9 0 1 2 3 4 5 6 IO Wait Queue: 
Time: 58, Child No.7 gets CPU time, Remaining:51, Run Queue: 8 9 0 1 2 3 4 5 6 7 IO Wait Queue: 
Time: 59, Child No.8 gets CPU time, Remaining:48, Run Queue: 9 0 1 2 3 4 5 6 7 8 IO Wait Queue: 
Time: 60, Child No.9 gets CPU time, Remaining:60, Run Queue: 0 1 2 3 4 5 6 7 8 9 IO Wait Queue: 
Time: 61, Child No.0 gets CPU time, Remaining:49, Run Queue: 1 2 3 4 5 6 7 8 9 0 IO Wait Queue: 
Time: 62, Child No.1 gets CPU time, Remaining:63, Run Queue: 2 3 4 5 6 7 8 9 0 1 IO Wait Queue: 
Time: 63, Child No.2 gets CPU time, Remaining:59, Run Queue: 3 4 5 6 7 8 9 0 1 2 IO Wait Queue: 
Time: 64, Child No.3 gets CPU time, Remaining:52, Run Queue: 4 5 6 7 8 9 0 1 2 3 IO Wait Queue: 
Time: 65, Child No.4 gets CPU time, Remaining:55, Run Queue: 5 6 7 8 9 0 1 2 3 4 IO Wait Queue: 
Time: 66, Child No.5 gets CPU time, Remaining:48, Run Queue: 6 7 8 9 0 1 2 3 4 5 IO Wait Queue: 
Time: 67, Child No.6 gets CPU time, Remaining:56, Run Queue: 7 8 9 0 1 2 3 4 5 6 IO Wait Queue: 
Time: 68, Child No.7 gets CPU time, Remaining:49, Run Queue: 8 9 0 1 2 3 4 5 6 7 IO Wait Queue: 
Time: 69, Child No.8 gets CPU time, Remaining:46, Run Queue: 9 0 1 2 3 4 5 6 7 8 IO Wait Queue: 
Time: 70, Child No.9 gets CPU time, Remaining:58, Run Queue: 0 1 2 3 4 5 6 7 8 9 IO Wait Queue: 
Time: 71, Child No.0 gets CPU time, Remaining:47, Run Queue: 1 2 3 4 5 6 7 8 9 0 IO Wait Queue: 
Time: 72, Child No.1 gets CPU time, Remaining:61, Run Queue: 2 3 4 5 6 7 8 9 0 1 IO Wait Queue: 
Time: 73, Child No.2 gets CPU time, Remaining:57, Run Queue: 3 4 5 6 7 8 9 0 1 2 IO Wait Queue: 
Time: 74, Child No.3 gets CPU time, Remaining:50, Run Queue: 4 5 6 7 8 9 0 1 2 3 IO Wait Queue: 
Time: 75, Child No.4 gets CPU time, Remaining:53, Run Queue: 5 6 7 8 9 0 1 2 3 4 IO Wait Queue: 
Time: 76, Child No.5 gets CPU time, Remaining:46, Run Queue: 6 7 8 9 0 1 2 3 4 5 IO Wait Queue: 
Time: 77, Child No.6 gets CPU time, Remaining:54, Run Queue: 7 8 9 0 1 2 3 4 5 6 IO Wait Queue: 
Time: 78, Child No.7 gets CPU time, Remaining:47, Run Queue: 8 9 0 1 2 3 4 5 6 7 IO Wait Queue: 
Time: 79, Child No.8 gets CPU time, Remaining:44, Run Queue: 9 0 1 2 3 4 5 6 7 8 IO Wait Queue: 
Time: 80, Child No.9 gets CPU time, Remaining:56, Run Queue: 0 1 2 3 4 5 6 7 8 9 IO Wait Queue: 
Time: 81, Child No.0 gets CPU time, Remaining:45, Run Queue: 1 2 3 4 5 6 7 8 9 0 IO Wait Queue: 
Time: 82, Child No.1 gets CPU time, Remaining:59, Run Queue: 2 3 4 5 6 7 8 9 0 1 IO Wait Queue: 
Time: 83, Child No.2 gets CPU time, Remaining:55, Run Queue: 3 4 5 6 7 8 9 0 1 2 IO Wait Queue: 
Time: 84, Child No.3 gets CPU time, Remaining:48, Run Queue: 4 5 6 7 8 9 0 1 2 3 IO Wait Queue: 
Time: 85, Child No.4 gets CPU time, Remaining:51, Run Queue: 5 6 7 8 9 0 1 2 3 4 IO Wait Queue: 
Time: 86, Child No.5 gets CPU time, Remaining:44, Run Queue: 6 7 8 9 0 1 2 3 4 5 IO Wait Queue: 
Time: 87, Child No.6 gets CPU time, Remaining:52, Run Queue: 7 8 9 0 1 2 3 4 5 6 IO Wait Queue: 
Time: 88, Child No.7 gets CPU time, Remaining:45, Run Queue: 8 9 0 1 2 3 4 5 6 7 IO Wait Queue: 
Time: 89, Child No.8 gets CPU time, Remaining:42, Run Queue: 9 0 1 2 3 4 5 6 7 8 IO Wait Queue: 
Time: 90, Child No.9 gets CPU time, Remaining:54, Run Queue: 0 1 2 3 4 5 6 7 8 9 IO Wait Queue: 
Time: 91, Child No.0 gets CPU time, Remaining:43, Run Queue: 1 2 3 4 5 6 7 8 9 0 IO Wait Queue: 
Time: 92, Child No.1 gets CPU time, Remaining:57, Run Queue: 2 3 4 5 6 7 8 9 0 1 IO Wait Queue: 
Time: 93, Child No.2 gets CPU time, Remaining:53, Run Queue: 3 4 5 6 7 8 9 0 1 2 IO Wait Queue: 
Time: 94, Child No.3 gets CPU time, Remaining:46, Run Queue: 4 5 6 7 8 9 0 1 2 3 IO Wait Queue: 
Time: 95, Child No.4 gets CPU time, Remaining:49, Run Queue: 5 6 7 8 9 0 1 2 3 4 IO Wait Queue: 
